,date,frequency,date_time,date_int
341,2014-01-16 15:00:00,0,2014-01-16 15:00:00,20140116150000
342,2014-01-16 16:00:00,1,2014-01-16 16:00:00,20140116160000
343,2014-01-16 17:00:00,0,2014-01-16 17:00:00,20140116170000
344,2014-01-16 18:00:00,0,2014-01-16 18:00:00,20140116180000
345,2014-01-16 19:00:00,0,2014-01-16 19:00:00,20140116190000
346,2014-01-16 20:00:00,0,2014-01-16 20:00:00,20140116200000
347,2014-01-16 21:00:00,0,2014-01-16 21:00:00,20140116210000
348,2014-01-16 22:00:00,0,2014-01-16 22:00:00,20140116220000
349,2014-01-16 23:00:00,0,2014-01-16 23:00:00,20140116230000
350,2014-01-17 00:00:00,0,2014-01-17 00:00:00,20140117000000
351,2014-01-17 01:00:00,0,2014-01-17 01:00:00,20140117010000
352,2014-01-17 02:00:00,0,2014-01-17 02:00:00,20140117020000
353,2014-01-17 03:00:00,0,2014-01-17 03:00:00,20140117030000
354,2014-01-17 04:00:00,0,2014-01-17 04:00:00,20140117040000
355,2014-01-17 05:00:00,0,2014-01-17 05:00:00,20140117050000
356,2014-01-17 06:00:00,0,2014-01-17 06:00:00,20140117060000
357,2014-01-17 07:00:00,0,2014-01-17 07:00:00,20140117070000
358,2014-01-17 08:00:00,0,2014-01-17 08:00:00,20140117080000
359,2014-01-17 09:00:00,0,2014-01-17 09:00:00,20140117090000
360,2014-01-17 10:00:00,4,2014-01-17 10:00:00,20140117100000
361,2014-01-17 11:00:00,0,2014-01-17 11:00:00,20140117110000
362,2014-01-17 12:00:00,0,2014-01-17 12:00:00,20140117120000
363,2014-01-17 13:00:00,0,2014-01-17 13:00:00,20140117130000
364,2014-01-17 14:00:00,0,2014-01-17 14:00:00,20140117140000
365,2014-01-17 15:00:00,0,2014-01-17 15:00:00,20140117150000
366,2014-01-17 16:00:00,0,2014-01-17 16:00:00,20140117160000
367,2014-01-17 17:00:00,2,2014-01-17 17:00:00,20140117170000
368,2014-01-17 18:00:00,0,2014-01-17 18:00:00,20140117180000
369,2014-01-17 19:00:00,0,2014-01-17 19:00:00,20140117190000
370,2014-01-17 20:00:00,0,2014-01-17 20:00:00,20140117200000
371,2014-01-17 21:00:00,0,2014-01-17 21:00:00,20140117210000
372,2014-01-17 22:00:00,0,2014-01-17 22:00:00,20140117220000
373,2014-01-17 23:00:00,0,2014-01-17 23:00:00,20140117230000
374,2014-01-18 00:00:00,0,2014-01-18 00:00:00,20140118000000
375,2014-01-18 01:00:00,0,2014-01-18 01:00:00,20140118010000
376,2014-01-18 02:00:00,0,2014-01-18 02:00:00,20140118020000
377,2014-01-18 03:00:00,0,2014-01-18 03:00:00,20140118030000
378,2014-01-18 04:00:00,0,2014-01-18 04:00:00,20140118040000
379,2014-01-18 05:00:00,0,2014-01-18 05:00:00,20140118050000
380,2014-01-18 06:00:00,0,2014-01-18 06:00:00,20140118060000
381,2014-01-18 07:00:00,0,2014-01-18 07:00:00,20140118070000
382,2014-01-18 08:00:00,0,2014-01-18 08:00:00,20140118080000
383,2014-01-18 09:00:00,0,2014-01-18 09:00:00,20140118090000
384,2014-01-18 10:00:00,4,2014-01-18 10:00:00,20140118100000
